BoroughCode,BoroughName,IMD - Average rank ,IMD - Rank of average rank ,IMD - Average score ,IMD - Rank of average score ,IMD - Proportion of LSOAs in most deprived 10% nationally ,IMD - Rank of proportion of LSOAs in most deprived 10% nationally ,IMD 2019 - Extent ,IMD 2019 - Rank of extent ,IMD 2019 - Local concentration ,IMD 2019 - Rank of local concentration 
E09000001,City of London,12420.5,208,14.7,212,0,195,0,220,24167,236
E09000002,Barking and Dagenham,25551.9,5,32.8,21,0,139,0.5,20,29391.9,125
E09000003,Barnet,13803.4,184,16.1,190,0,193,0.1,194,26151.4,196
E09000004,Bexley,13529.7,190,16.3,187,0,195,0.1,175,27051.8,179
E09000005,Brent,21083,49,25.6,79,0.1,116,0.2,101,29908.7,114
E09000006,Bromley,11297.5,230,14.2,223,0,192,0.1,176,27626.6,170
E09000007,Camden,16763.3,132,20.1,138,0,195,0.1,139,27872.9,167
E09000008,Croydon,18371.2,102,22.5,108,0,157,0.2,109,29186.8,133
E09000009,Ealing,18991.7,88,22.7,105,0,163,0.2,127,28827.7,143
E09000010,Enfield,20418.7,59,25.8,74,0.1,119,0.3,61,29748.5,116
E09000011,Greenwich,20383.8,60,24.5,88,0,191,0.2,105,28579.9,151
E09000012,Hackney,25312.6,7,32.5,22,0.1,78,0.4,25,30187.7,107
E09000013,Hammersmith and Fulham,18643.5,96,22.3,112,0,185,0.2,124,28576.7,152
E09000014,Haringey,21887.6,37,28,49,0.1,84,0.3,52,30429.9,97
E09000015,Harrow,13071.3,199,15,207,0,195,0,231,24571.7,227
E09000016,Havering,14036,179,16.8,180,0,190,0.1,171,27349.3,174
E09000017,Hillingdon,15515,151,18.2,159,0,195,0.1,181,26225.9,194
E09000018,Hounslow,18652.5,95,21.5,122,0,189,0.1,166,27292.9,177
E09000019,Islington,22490.2,28,27.5,53,0,126,0.3,74,29301.7,126
E09000020,Kensington and Chelsea,17177.5,122,21.5,121,0.1,91,0.2,106,30007.4,112
E09000021,Kingston upon Thames,9412.3,270,11.4,273,0,195,0,262,20278.7,285
E09000022,Lambeth,21351.4,42,25.4,81,0,195,0.2,108,28390.9,156
E09000023,Lewisham,21959.3,35,26.7,63,0,148,0.2,84,28994.1,136
E09000024,Merton,12224.6,214,14.6,213,0,195,0,214,25452,209
E09000025,Newham,24138.7,12,29.6,43,0,154,0.3,67,28987.1,137
E09000026,Redbridge,15082.6,160,17.2,173,0,195,0,207,25538.1,207
E09000027,Richmond upon Thames,7159.2,297,9.4,295,0,195,0,273,20998.5,275
E09000028,Southwark,21247.4,43,25.8,72,0,147,0.2,91,28759,145
E09000029,Sutton,11415.3,227,14,226,0,188,0.1,186,26618,186
E09000030,Tower Hamlets,22507.1,27,27.9,50,0,175,0.3,57,29011.4,134
E09000031,Waltham Forest,21186.6,45,25.2,82,0,162,0.2,115,28906.7,141
E09000032,Wandsworth,14312.2,173,16.6,183,0,195,0,199,25999.8,198
E09000033,Westminster,16573.8,134,20.3,137,0,155,0.2,131,29203.1,132
