BoroughCode,BoroughName, ALL AGES
E09000001,City of London,"8,760"
E09000002,Barking and Dagenham,"201,979"
E09000003,Barnet,"379,691"
E09000004,Bexley,"242,142"
E09000005,Brent,"324,012"
E09000006,Bromley,"324,857"
E09000007,Camden,"241,059"
E09000008,Croydon,"379,031"
E09000009,Ealing,"343,059"
E09000010,Enfield,"328,433"
E09000011,Greenwich,"274,803"
E09000012,Hackney,"269,009"
E09000013,Hammersmith and Fulham,"179,410"
E09000014,Haringey,"272,864"
E09000015,Harrow,"247,130"
E09000016,Havering,"249,085"
E09000017,Hillingdon,"297,735"
E09000018,Hounslow,"268,770"
E09000019,Islington,"227,692"
E09000020,Kensington and Chelsea,"157,711"
E09000021,Kingston upon Thames,"173,525"
E09000022,Lambeth,"324,431"
E09000023,Lewisham,"297,325"
E09000024,Merton,"204,565"
E09000025,Newham,"332,817"
E09000026,Redbridge,"296,793"
E09000027,Richmond upon Thames,"194,730"
E09000028,Southwark,"308,901"
E09000029,Sutton,"200,145"
E09000030,Tower Hamlets,"295,236"
E09000031,Waltham Forest,"271,170"
E09000032,Wandsworth,"314,544"
E09000033,Westminster,"242,299"
